hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-53635.516, -54346.055, -53594.098, -52732.06, -53411.01, -54274.035, -53748.613, -52733.062, -53149.855, -54140.977]","[-65782.125, -65806.82, -65332.113, -65230.08, -65725.93, -65857.72, -65413.92, -65184.305, -65646.31, -65895.29]","[-87551.96, -87563.72, -87725.99, -87741.52, -87585.78, -87556.32, -87700.18, -87755.38, -87619.195, -87552.34]","[-83861.94, -83818.15, -83830.086, -83882.836, -83883.8, -83835.76, -83827.516, -83878.03, -83903.51, -83855.01]","[-86827.5, -86846.74, -87022.2, -87032.15, -86864.4, -86839.01, -86996.79, -87051.71, -86903.67, -86838.336]","[-91783.33, -91789.49, -91930.11, -91948.39, -91817.32, -91786.81, -91909.61, -91967.17, -91852.195, -91786.27]","[-70947.88, -70928.055, -70420.4, -70359.65, -70887.53, -70991.87, -70513.05, -70309.47, -70805.9, -71033.15]","[-86869.14, -86821.46, -86837.625, -86894.44, -86894.71, -86842.63, -86835.86, -86886.7, -86909.06, -86857.6]"
Left,2025-10-28 18:44:25,"[-53882.367, -52798.33, -52976.027, -54009.37, -53998.06, -52890.195, -52768.51, -53826.53, -54083.31, -53066.348]","[-65523.402, -65184.08, -65570.66, -65908.12, -65621.164, -65200.934, -65484.375, -65910.016, -65718.555, -65247.355]","[-87682.63, -87768.75, -87654.35, -87562.805, -87669.445, -87788.0, -87694.48, -87572.15, -87653.84, -87788.22]","[-83837.125, -83878.2, -83916.766, -83881.47, -83856.39, -83891.51, -83935.72, -83905.66, -83866.74, -83886.99]","[-86982.125, -87071.51, -86945.49, -86853.31, -86972.36, -87097.04, -86992.48, -86866.34, -86959.555, -87103.05]","[-91894.88, -91973.56, -91880.11, -91799.15, -91888.516, -91997.5, -91923.586, -91815.914, -91877.96, -91996.23]","[-70616.23, -70296.7, -70722.195, -71048.125, -70709.19, -70296.75, -70624.18, -71050.66, -70811.4, -70339.4]","[-86838.766, -86885.055, -86924.08, -86884.47, -86855.34, -86894.71, -86941.23, -86907.92, -86871.75, -86896.81]"
Left,2025-10-28 18:44:25,"[-52667.55, -53653.44, -54164.56, -53259.805, -52617.39, -53489.98, -54230.605, -53518.1, -52639.05, -53279.07]","[-65395.953, -65868.89, -65783.734, -65291.68, -65315.73, -65824.3, -65865.2, -65396.285, -65268.68, -65758.05]","[-87730.62, -87587.91, -87626.26, -87774.984, -87751.54, -87603.51, -87619.445, -87778.3, -87793.766, -87641.8]","[-83934.51, -83912.23, -83863.88, -83873.266, -83925.46, -83919.0, -83882.07, -83896.266, -83940.66, -83947.38]","[-87034.85, -86882.88, -86927.74, -87086.29, -87054.88, -86894.84, -86917.484, -87089.016, -87099.63, -86936.016]","[-91951.3, -91826.76, -91852.125, -91981.2, -91970.21, -91839.336, -91849.87, -91991.96, -92008.97, -91879.8]","[-70538.57, -71026.13, -70893.05, -70372.34, -70431.375, -70965.42, -70972.4, -70468.75, -70384.44, -70902.55]","[-86943.68, -86918.23, -86865.14, -86876.25, -86926.05, -86917.51, -86874.97, -86884.78, -86932.75, -86934.586]"
Left,2025-10-28 18:44:25,"[-54157.918, -53672.93, -52660.71, -53078.844, -54090.598, -53871.93, -52780.67, -52920.527, -53981.562, -54005.77]","[-65904.25, -65473.266, -65228.67, -65681.23, -65934.41, -65567.79, -65212.266, -65585.07, -65935.66, -65652.73]","[-87607.375, -87750.11, -87804.516, -87667.5, -87594.27, -87721.81, -87818.305, -87699.69, -87600.89, -87704.87]","[-83898.1, -83889.31, -83936.34, -83964.93, -83914.88, -83893.54, -83934.664, -83969.71, -83925.5, -83890.055]","[-86905.57, -87063.24, -87118.07, -86969.25, -86897.055, -87037.89, -87135.52, -87001.375, -86897.44, -87011.72]","[-91844.08, -91966.74, -92021.35, -91910.195, -91841.555, -91947.25, -92034.67, -91937.51, -91844.73, -91927.2]","[-71018.16, -70548.68, -70334.32, -70824.836, -71061.76, -70647.516, -70316.11, -70738.06, -71086.57, -70758.47]","[-86880.76, -86874.08, -86921.04, -86944.195, -86891.65, -86867.98, -86916.28, -86951.33, -86905.62, -86872.47]"
Left,2025-10-28 18:44:25,"[-52910.09, -52758.254, -53813.08, -54094.26, -53046.746, -52608.9, -53586.92, -54122.535, -53231.082, -52522.31]","[-65226.39, -65496.51, -65924.86, -65745.17, -65263.406, -65404.355, -65889.92, -65824.08, -65332.047, -65336.16]","[-87825.055, -87736.055, -87609.63, -87684.58, -87822.1, -87761.625, -87618.5, -87652.3, -87807.53, -87797.516]","[-83921.57, -83967.125, -83929.99, -83891.26, -83911.445, -83962.36, -83945.87, -83898.93, -83912.05, -83970.14]","[-87137.05, -87036.04, -86902.17, -86986.44, -87131.66, -87061.54, -86911.27, -86954.79, -87121.375, -87103.63]","[-92035.79, -91966.01, -91850.78, -91908.766, -92029.77, -91986.19, -91864.62, -91888.78, -92025.57, -92022.87]","[-70336.38, -70655.74, -71090.98, -70861.6, -70372.1, -70563.38, -71062.52, -70948.93, -70440.49, -70489.22]","[-86911.79, -86956.805, -86919.23, -86879.445, -86906.016, -86955.33, -86931.34, -86882.37, -86899.086, -86956.65]"
Left,2025-10-28 18:44:25,"[-53349.145, -54098.754, -53391.945, -52491.484, -53114.832, -54009.125, -53530.125, -52487.797, -52854.992, -53876.22]","[-65847.03, -65896.38, -65425.457, -65294.004, -65784.67, -65936.06, -65507.49, -65253.93, -65699.69, -65967.53]","[-87637.77, -87638.195, -87796.13, -87821.21, -87670.96, -87632.336, -87780.8, -87844.19, -87707.04, -87627.734]","[-83962.07, -83913.39, -83921.66, -83973.02, -83979.7, -83923.05, -83913.19, -83960.234, -83987.1, -83935.65]","[-86932.8, -86938.01, -87107.3, -87125.85, -86962.63, -86926.31, -87084.72, -87145.875, -86995.336, -86915.49]","[-91885.12, -91882.26, -92022.02, -92045.49, -91916.52, -91875.15, -91996.67, -92055.68, -91942.13, -91866.67]","[-71019.41, -71029.195, -70525.37, -70431.375, -70951.39, -71078.75, -70610.59, -70388.64, -70875.08, -71125.016]","[-86943.97, -86890.95, -86898.89, -86957.25, -86963.22, -86906.47, -86899.13, -86950.234, -86970.39, -86912.59]"
Left,2025-10-28 18:44:25,"[-53667.14, -52571.1, -52684.426, -53751.273, -53781.246, -52686.527, -52510.19, -53546.105, -53837.33, -52817.22]","[-65607.4, -65249.637, -65615.53, -65969.61, -65691.76, -65258.13, -65516.785, -65950.055, -65781.34, -65302.88]","[-87754.38, -87845.46, -87733.55, -87624.36, -87730.82, -87849.086, -87762.875, -87633.19, -87708.445, -87842.6]","[-83912.67, -83950.13, -83990.91, -83942.18, -83914.77, -83942.06, -83991.1, -83957.71, -83921.99, -83939.27]","[-87054.39, -87147.53, -87024.46, -86910.71, -87029.29, -87152.96, -87056.89, -86921.734, -87006.65, -87150.234]","[-91972.555, -92055.484, -91966.45, -91863.93, -91952.64, -92057.96, -91991.016, -91876.24, -91935.63, -92053.695]","[-70715.195, -70371.72, -70781.96, -71132.33, -70801.81, -70377.414, -70681.984, -71116.27, -70891.33, -70406.695]","[-86885.34, -86927.586, -86964.984, -86915.336, -86886.08, -86922.41, -86966.48, -86929.58, -86889.66, -86912.766]"
Left,2025-10-28 18:44:25,"[-52368.035, -53344.316, -53897.008, -53012.168, -52286.316, -53106.336, -53863.547, -53186.824, -52271.41, -52889.906]","[-65433.277, -65919.66, -65856.35, -65367.97, -65358.914, -65863.91, -65919.27, -65452.5, -65309.496, -65807.89]","[-87788.58, -87640.43, -87672.055, -87828.85, -87815.65, -87656.164, -87653.06, -87807.24, -87840.63, -87688.46]","[-83988.445, -83971.57, -83923.83, -83939.766, -83994.64, -83988.336, -83938.04, -83934.805, -83992.96, -84006.88]","[-87087.805, -86931.836, -86970.44, -87137.875, -87115.56, -86943.97, -86946.695, -87111.164, -87140.96, -86976.586]","[-92014.625, -91888.58, -91908.65, -92047.836, -92043.91, -91907.336, -91897.945, -92026.805, -92063.88, -91937.69]","[-70588.06, -71093.99, -70986.15, -70469.1, -70502.12, -71034.984, -71052.89, -70546.58, -70441.01, -70969.29]","[-86963.46, -86941.83, -86889.19, -86907.02, -86962.08, -86951.77, -86897.26, -86899.2, -86959.69, -86967.42]"
Left,2025-10-28 18:44:25,"[-53779.773, -53330.523, -52326.418, -52699.51, -53723.133, -53548.902, -52443.875, -52530.11, -53594.746, -53678.07]","[-65973.45, -65544.75, -65285.445, -65725.125, -66000.03, -65650.56, -65283.613, -65642.76, -66010.625, -65749.83]","[-87657.53, -87789.72, -87848.97, -87721.86, -87643.56, -87767.836, -87869.89, -87756.164, -87650.625, -87752.55]","[-83962.36, -83940.414, -83981.984, -84010.28, -83961.47, -83938.87, -83983.53, -84024.32, -83986.945, -83955.39]","[-86948.84, -87094.086, -87152.38, -87010.87, -86931.14, -87068.96, -87174.22, -87048.266, -86939.57, -87052.086]","[-91907.67, -92018.6, -92072.555, -91963.21, -91888.87, -91991.8, -92085.63, -91995.17, -91901.63, -91981.54]","[-71105.08, -70643.23, -70413.67, -70894.414, -71150.61, -70746.914, -70396.195, -70802.86, -71165.14, -70859.37]","[-86917.69, -86902.94, -86951.93, -86976.92, -86923.66, -86900.055, -86947.46, -86984.164, -86941.38, -86910.445]"
Left,2025-10-28 18:44:25,"[-52571.01, -52372.91, -53420.668, -53767.098, -52778.37, -52283.992, -53232.78, -53795.484, -52947.305, -52222.215]","[-65313.004, -65563.945, -66001.33, -65845.805, -65370.18, -65481.65, -65972.625, -65926.05, -65440.5, -65418.08]","[-87886.61, -87797.23, -87666.914, -87738.445, -87880.94, -87840.27, -87691.08, -87725.5, -87869.78, -87863.75]","[-83994.01, -84037.69, -84002.195, -83965.76, -83986.88, -84044.26, -84025.82, -83982.99, -83988.13, -84044.55]","[-87191.805, -87090.42, -86953.516, -87035.055, -87187.09, -87137.07, -86978.39, -87021.664, -87176.43, -87163.22]","[-92103.41, -92031.61, -91913.91, -91968.64, -92094.87, -92069.09, -91938.94, -91966.12, -92090.35, -92092.63]","[-70426.55, -70722.484, -71163.06, -70955.19, -70469.51, -70629.7, -71134.25, -71040.26, -70533.19, -70550.4]","[-86955.17, -87000.766, -86965.2, -86925.13, -86949.36, -87005.04, -86983.47, -86937.58, -86947.7, -87003.02]"
Left,2025-10-28 18:44:25,"[-53006.78, -53770.16, -53120.418, -52207.46, -52811.94, -53719.645, -53312.598, -52254.49, -52591.375, -53631.582]","[-65923.9, -65988.27, -65521.57, -65369.957, -65861.16, -66033.445, -65616.67, -65343.984, -65778.55, -66061.68]","[-87715.76, -87703.555, -87847.9, -87877.96, -87734.016, -87695.55, -87826.89, -87905.03, -87766.31, -87687.305]","[-84046.25, -83990.19, -83981.516, -84033.75, -84049.87, -84004.31, -83980.13, -84033.375, -84057.086, -84008.18]","[-87003.96, -86997.484, -87154.19, -87180.66, -87024.55, -86988.19, -87131.164, -87208.69, -87056.336, -86976.94]","[-91965.6, -91947.01, -92070.88, -92104.14, -91983.266, -91947.01, -92051.55, -92123.945, -92007.336, -91933.75]","[-71079.305, -71112.945, -70613.01, -70493.49, -71016.766, -71162.61, -70707.125, -70458.89, -70932.55, -71195.875]","[-86998.58, -86943.055, -86935.55, -86989.44, -87002.42, -86951.28, -86932.28, -86987.47, -87008.63, -86959.51]"
Left,2025-10-28 18:44:25,"[-53471.99, -52374.766, -52407.71, -53477.4, -53591.258, -52508.426, -52272.082, -53320.062, -53711.71, -52712.05]","[-65719.25, -65346.957, -65690.8, -66066.44, -65813.77, -65368.08, -65596.65, -66044.8, -65896.9, -65412.582]","[-87808.56, -87909.19, -87811.16, -87692.53, -87788.84, -87912.14, -87832.56, -87694.766, -87758.875, -87912.79]","[-83986.26, -84025.125, -84074.836, -84033.375, -83998.664, -84024.7, -84070.586, -84039.63, -83997.12, -84024.01]","[-87111.34, -87214.516, -87103.56, -86981.45, -87089.08, -87219.66, -87128.93, -86985.055, -87058.86, -87221.67]","[-92036.484, -92128.484, -92051.125, -91946.336, -92024.21, -92132.95, -92070.234, -91949.58, -91998.305, -92132.93]","[-70802.234, -70451.29, -70844.125, -71215.38, -70913.63, -70473.51, -70750.18, -71203.78, -71004.02, -70512.35]","[-86937.42, -86981.945, -87026.49, -86980.96, -86944.69, -86976.2, -87021.94, -86987.71, -86941.71, -86973.92]"
Left,2025-10-28 18:44:25,"[-52191.95, -53119.3, -53718.418, -52867.285, -52132.582, -52935.348, -53727.492, -53103.027, -52152.074, -52716.074]","[-65517.074, -66003.2, -65967.305, -65480.53, -65450.758, -65958.37, -66037.555, -65579.57, -65408.426, -65887.96]","[-87878.43, -87718.8, -87746.266, -87905.5, -87891.555, -87735.65, -87726.95, -87883.46, -87923.914, -87772.95]","[-84086.01, -84062.164, -84013.7, -84026.445, -84076.71, -84075.57, -84027.336, -84027.07, -84080.336, -84091.46]","[-87177.95, -87008.97, -87043.55, -87214.09, -87195.41, -87029.42, -87026.18, -87195.07, -87232.11, -87069.81]","[-92112.32, -91974.39, -91992.13, -92131.586, -92128.5, -91997.164, -91983.59, -92116.52, -92154.86, -92026.0]","[-70665.71, -71173.05, -71094.664, -70581.51, -70592.95, -71122.4, -71161.72, -70666.586, -70534.75, -71049.734]","[-87033.36, -87006.78, -86954.7, -86973.56, -87027.79, -87020.64, -86967.93, -86972.07, -87028.484, -87033.49]"
Left,2025-10-28 18:44:25,"[-53667.188, -53291.566, -52223.598, -52516.562, -53546.754, -53407.863, -52306.973, -52339.023, -53418.164, -53546.8]","[-66077.39, -65664.82, -65370.96, -65793.88, -66086.4, -65752.484, -65366.29, -65704.02, -66093.016, -65855.44]","[-87718.664, -87853.8, -87932.68, -87801.63, -87713.54, -87834.445, -87934.555, -87824.695, -87713.48, -87813.97]","[-84038.4, -84018.95, -84067.7, -84098.195, -84050.41, -84026.484, -84056.93, -84098.75, -84061.49, -84036.88]","[-87019.37, -87167.69, -87246.55, -87103.2, -87015.21, -87150.234, -87254.86, -87133.0, -87017.51, -87128.59]","[-91973.65, -92087.31, -92161.875, -92055.414, -91974.766, -92076.734, -92165.56, -92076.07, -91976.24, -92060.625]","[-71208.63, -70752.01, -70486.72, -70951.14, -71222.54, -70834.78, -70468.81, -70856.91, -71238.14, -70947.7]","[-86974.305, -86956.53, -87007.56, -87036.33, -86982.664, -86960.84, -87002.016, -87035.81, -86992.03, -86962.125]"
Left,2025-10-28 18:44:25,"[-52491.598, -52242.26, -53262.8, -53634.33, -52658.406, -52119.195, -53036.598, -53644.074, -52819.63, -52066.914]","[-65412.36, -65633.26, -66078.95, -65935.37, -65450.223, -65537.414, -66030.92, -66002.58, -65513.008, -65464.28]","[-87938.11, -87866.09, -87733.08, -87791.33, -87930.664, -87891.086, -87746.664, -87773.625, -87920.9, -87914.15]","[-84063.88, -84115.07, -84086.73, -84044.34, -84057.87, -84110.555, -84099.266, -84052.87, -84054.72, -84102.35]","[-87259.71, -87176.836, -87037.85, -87105.8, -87254.64, -87206.72, -87055.125, -87089.8, -87248.67, -87236.18]","[-92171.734, -92117.95, -92000.984, -92044.93, -92166.414, -92140.28, -92017.98, -92036.305, -92163.016, -92162.19]","[-70514.97, -70785.65, -71233.58, -71041.266, -70547.0, -70679.055, -71190.484, -71119.61, -70608.914, -70608.65]","[-86995.85, -87046.39, -87012.86, -86967.58, -86986.84, -87035.55, -87021.51, -86975.35, -86984.945, -87035.73]"
Left,2025-10-28 18:44:25,"[-52834.316, -53643.562, -53041.316, -52088.258, -52618.49, -53569.4, -53207.523, -52154.152, -52425.613, -53446.797]","[-65968.31, -66054.86, -65593.72, -65411.31, -65883.69, -66084.12, -65684.0, -65388.44, -65804.67, -66101.95]","[-87760.52, -87744.73, -87895.125, -87938.13, -87791.08, -87736.86, -87873.445, -87945.71, -87823.47, -87737.33]","[-84104.164, -84052.82, -84043.38, -84098.125, -84114.914, -84066.21, -84050.984, -84091.375, -84126.47, -84080.53]","[-87071.42, -87060.72, -87222.32, -87262.8, -87102.87, -87050.92, -87199.52, -87272.25, -87137.74, -87050.57]","[-92030.89, -92012.5, -92138.336, -92183.94, -92061.72, -92011.07, -92125.77, -92192.945, -92093.79, -92012.41]","[-71139.836, -71192.19, -70699.26, -70553.305, -71058.586, -71235.1, -70791.46, -70523.69, -70979.53, -71264.734]","[-87029.336, -86974.125, -86972.516, -87029.47, -87040.35, -86987.555, -86974.68, -87021.625, -87051.17, -86999.78]"
Left,2025-10-28 18:44:25,"[-53326.727, -52210.613, -52208.176, -53290.67, -53451.625, -52378.7, -52081.195, -53107.5, -53501.65, -52528.7]","[-65773.85, -65380.887, -65703.31, -66097.39, -65866.43, -65421.254, -65635.14, -66092.055, -65958.88, -65471.746]","[-87856.26, -87961.36, -87851.48, -87732.19, -87828.99, -87963.305, -87891.1, -87757.6, -87818.71, -87958.74]","[-84053.04, -84088.72, -84126.24, -84085.2, -84052.664, -84085.14, -84135.12, -84110.58, -84070.63, -84081.81]","[-87182.086, -87291.79, -87169.39, -87046.41, -87151.98, -87292.52, -87209.04, -87068.56, -87138.81, -87287.3]","[-92108.9, -92204.234, -92114.18, -92006.87, -92081.5, -92203.65, -92148.06, -92030.23, -92078.5, -92200.66]","[-70892.734, -70523.35, -70892.555, -71278.15, -70996.766, -70544.72, -70800.984, -71271.266, -71098.8, -70603.55]","[-86973.48, -87018.625, -87056.914, -87010.555, -86976.61, -87015.72, -87067.086, -87038.85, -86997.664, -87013.24]"
Left,2025-10-28 18:44:25,"[-51969.57, -52866.03, -53482.74, -52661.312, -51857.86, -52616.273, -53448.23, -52855.527, -51882.78, -52380.91]","[-65546.555, -66039.59, -66020.34, -65532.945, -65471.145, -65973.766, -66073.234, -65622.04, -65432.473, -65904.3]","[-87923.07, -87778.36, -87796.0, -87947.66, -87942.94, -87778.516, -87765.4, -87919.13, -87966.01, -87825.7]","[-84135.37, -84129.75, -84079.04, -84081.12, -84129.82, -84125.88, -84079.305, -84079.46, -84134.29, -84154.72]","[-87243.82, -87090.8, -87115.9, -87279.67, -87268.836, -87093.93, -87085.64, -87251.24, -87295.055, -87142.12]","[-92178.75, -92055.93, -92063.98, -92195.0, -92198.086, -92058.07, -92040.82, -92173.25, -92219.41, -92102.89]","[-70728.99, -71243.234, -71181.34, -70667.875, -70647.23, -71172.85, -71236.82, -70751.25, -70595.99, -71104.766]","[-87064.914, -87048.6, -86993.17, -87001.73, -87050.91, -87043.305, -86992.61, -86993.91, -87050.92, -87070.414]"
Left,2025-10-28 18:44:25,"[-53316.04, -52952.758, -51889.285, -52165.15, -53213.426, -53114.605, -52003.277, -51984.523, -53049.027, -53218.117]","[-66109.87, -65709.97, -65402.12, -65821.64, -66140.16, -65818.53, -65422.215, -65741.445, -66138.97, -65916.125]","[-87773.516, -87898.03, -87969.74, -87843.83, -87763.63, -87882.12, -87988.555, -87886.5, -87766.625, -87861.51]","[-84105.37, -84077.85, -84115.56, -84150.61, -84111.11, -84085.81, -84120.234, -84162.14, -84123.27, -84093.234]","[-87090.82, -87227.46, -87299.055, -87161.12, -87080.79, -87209.78, -87319.57, -87204.08, -87078.82, -87184.34]","[-92050.05, -92150.836, -92216.08, -92113.375, -92039.945, -92137.65, -92235.66, -92153.36, -92045.35, -92122.31]","[-71288.68, -70842.49, -70558.914, -71014.625, -71314.23, -70948.95, -70569.29, -70931.83, -71324.06, -71047.1]","[-87019.055, -86993.52, -87036.17, -87066.99, -87026.02, -87002.87, -87043.86, -87082.305, -87038.97, -87003.72]"
Left,2025-10-28 18:44:25,"[-52122.523, -51790.555, -52800.99, -53211.5, -52254.4, -51664.066, -52543.363, -53176.273, -52377.38, -51568.65]","[-65456.793, -65652.8, -66119.66, -66001.1, -65515.8, -65577.49, -66071.69, -66065.52, -65580.84, -65512.16]","[-87998.305, -87923.2, -87784.375, -87843.85, -87986.945, -87957.31, -87804.266, -87819.266, -87973.38, -87980.375]","[-84121.195, -84164.664, -84141.625, -84102.95, -84117.484, -84173.2, -84158.25, -84110.98, -84111.65, -84164.625]","[-87326.836, -87240.805, -87093.664, -87160.96, -87311.59, -87270.58, -87105.51, -87126.67, -87290.2, -87292.21]","[-92240.76, -92181.32, -92061.625, -92105.305, -92230.38, -92209.35, -92073.74, -92080.78, -92209.35, -92222.29]","[-70586.695, -70828.03, -71297.91, -71130.266, -70637.055, -70750.914, -71260.516, -71205.64, -70696.83, -70670.02]","[-87036.734, -87083.83, -87058.57, -87015.38, -87036.98, -87092.055, -87069.34, -87016.836, -87025.555, -87081.93]"
Left,2025-10-28 18:44:25,"[-52278.76, -53093.15, -52501.387, -51519.586, -52027.73, -52990.53, -52674.48, -51616.145, -51836.133, -52863.35]","[-66020.39, -66130.43, -65676.17, -65471.188, -65944.016, -66163.375, -65776.29, -65460.727, -65857.83, -66174.17]","[-87839.92, -87819.42, -87968.8, -88007.58, -87865.76, -87814.69, -87940.19, -88020.88, -87905.32, -87813.08]","[-84180.516, -84134.18, -84127.83, -84171.664, -84192.18, -84148.82, -84124.73, -84165.0, -84204.766, -84161.805]","[-87140.87, -87125.02, -87286.67, -87322.07, -87168.2, -87118.27, -87254.484, -87335.555, -87204.21, -87108.414]","[-92106.555, -92083.4, -92208.164, -92245.38, -92125.484, -92075.664, -92178.46, -92251.17, -92155.75, -92071.664]","[-71199.83, -71277.52, -70789.3, -70619.484, -71127.875, -71324.39, -70889.36, -70596.53, -71037.64, -71343.08]","[-87085.91, -87035.15, -87031.77, -87084.3, -87100.57, -87051.51, -87030.164, -87076.43, -87109.82, -87061.586]"
Left,2025-10-28 18:44:25,"[-52791.38, -51679.0, -51620.57, -52678.39, -52866.883, -51800.547, -51471.375, -52457.6, -52915.79, -51982.69]","[-65863.57, -65458.96, -65768.47, -66178.4, -65968.65, -65507.555, -65698.664, -66167.06, -66064.516, -65578.37]","[-87924.63, -88034.24, -87934.42, -87816.38, -87907.58, -88034.6, -87963.125, -87834.22, -87876.71, -88024.74]","[-84133.44, -84166.09, -84210.914, -84178.91, -84148.125, -84163.86, -84208.99, -84194.57, -84148.15, -84164.47]","[-87230.43, -87343.016, -87230.25, -87107.3, -87208.15, -87343.17, -87261.81, -87125.76, -87178.086, -87337.34]","[-92162.88, -92260.24, -92182.75, -92080.58, -92153.38, -92261.01, -92203.92, -92091.984, -92122.29, -92252.734]","[-70981.79, -70590.74, -70943.81, -71349.695, -71086.17, -70622.68, -70852.03, -71325.18, -71179.734, -70676.53]","[-87034.766, -87073.88, -87116.08, -87078.75, -87044.06, -87072.61, -87117.086, -87095.25, -87048.29, -87071.04]"
Left,2025-10-28 18:44:25,"[-51397.234, -52288.91, -52957.586, -52198.184, -51354.9, -52079.52, -52944.71, -52414.773, -51428.21, -51889.508]","[-65629.73, -66127.44, -66131.305, -65651.766, -65563.75, -66063.086, -66180.86, -65734.96, -65521.03, -65980.766]","[-87992.16, -87847.63, -87863.5, -88018.195, -88032.55, -87872.98, -87848.03, -87993.23, -88047.37, -87905.5]","[-84215.83, -84211.516, -84164.734, -84164.42, -84218.555, -84218.11, -84164.82, -84150.97, -84203.65, -84221.664]","[-87296.1, -87140.49, -87161.56, -87325.67, -87331.88, -87157.14, -87132.98, -87287.27, -87337.27, -87181.414]","[-92231.44, -92108.836, -92114.086, -92243.33, -92260.2, -92123.25, -92093.19, -92213.664, -92267.94, -92147.68]","[-70775.26, -71291.13, -71257.25, -70748.01, -70701.67, -71233.06, -71317.58, -70834.04, -70651.09, -71149.38]","[-87126.2, -87112.77, -87063.086, -87070.64, -87130.81, -87128.734, -87077.57, -87071.375, -87127.37, -87145.63]"
Left,2025-10-28 18:44:25,"[-52854.7, -52533.91, -51453.023, -51664.156, -52729.71, -52705.57, -51603.426, -51519.543, -52586.344, -52835.633]","[-66200.93, -65815.516, -65497.027, -65892.92, -66218.81, -65917.91, -65508.695, -65803.85, -66215.97, -66016.055]","[-87840.7, -87972.82, -88053.555, -87931.56, -87835.27, -87946.2, -88061.83, -87967.95, -87847.74, -87928.43]","[-84167.016, -84149.086, -84191.06, -84226.42, -84181.34, -84152.33, -84184.516, -84232.15, -84201.125, -84163.57]","[-87116.69, -87260.336, -87343.13, -87208.664, -87110.94, -87235.44, -87354.75, -87248.31, -87123.39, -87215.414]","[-92083.69, -92193.97, -92269.945, -92171.11, -92080.625, -92172.78, -92277.3, -92203.586, -92097.88, -92161.92]","[-71346.08, -70913.44, -70620.516, -71054.36, -71366.414, -71013.88, -70609.54, -70951.92, -71366.195, -71115.47]","[-87088.9, -87072.02, -87121.58, -87153.836, -87105.95, -87076.85, -87119.7, -87165.86, -87131.93, -87092.5]"
Left,2025-10-28 18:44:25,"[-51796.727, -51420.277, -52411.285, -52891.36, -51959.29, -51333.62, -52199.125, -52894.04, -52133.523, -51281.473]","[-65549.375, -65722.484, -66193.08, -66096.945, -65605.81, -65637.82, -66134.19, -66147.91, -65667.75, -65569.11]","[-88063.21, -88008.695, -87871.414, -87914.375, -88061.72, -88030.53, -87878.836, -87882.52, -88041.64, -88048.664]","[-84184.67, -84241.336, -84221.484, -84175.82, -84183.62, -84230.23, -84220.414, -84168.04, -84173.74, -84221.84]","[-87356.61, -87290.85, -87146.414, -87196.34, -87353.03, -87313.47, -87151.46, -87161.63, -87332.2, -87335.555]","[-92282.15, -92243.016, -92121.95, -92153.76, -92283.4, -92262.73, -92131.03, -92128.33, -92268.02, -92279.6]","[-70643.0, -70858.54, -71337.41, -71192.586, -70685.24, -70763.68, -71280.63, -71253.31, -70743.92, -70689.54]","[-87117.0, -87172.83, -87150.305, -87099.65, -87118.27, -87169.836, -87156.13, -87099.805, -87109.64, -87161.945]"
Left,2025-10-28 18:44:25,"[-51979.406, -52839.234, -52314.727, -51326.89, -51776.23, -52767.844, -52487.863, -51403.29, -51576.426, -52625.707]","[-66066.34, -66194.85, -65761.6, -65541.414, -66001.305, -66239.555, -65861.47, -65527.918, -65914.375, -66245.81]","[-87893.586, -87871.57, -88019.43, -88072.4, -87930.69, -87867.93, -88002.664, -88085.74, -87968.17, -87870.38]","[-84227.164, -84182.8, -84176.38, -84223.67, -84248.69, -84203.805, -84185.92, -84226.58, -84268.375, -84223.83]","[-87170.46, -87152.78, -87312.734, -87364.85, -87211.234, -87150.37, -87298.43, -87383.3, -87253.7, -87154.86]","[-92149.625, -92127.12, -92252.35, -92301.91, -92187.24, -92129.734, -92238.36, -92312.75, -92221.76, -92133.82]","[-71219.61, -71316.57, -70843.74, -70654.0, -71152.33, -71367.555, -70941.4, -70626.84, -71054.72, -71380.2]","[-87159.58, -87108.57, -87110.984, -87163.4, -87181.64, -87133.11, -87115.27, -87158.8, -87196.305, -87150.1]"
Left,2025-10-28 18:44:25,"[-52614.53, -51518.78, -51431.88, -52485.85, -52731.88, -51688.61, -51287.33, -52277.51, -52771.82, -51852.023]","[-65954.055, -65543.72, -65834.516, -66254.98, -66060.38, -65587.62, -65745.17, -66214.96, -66122.695, -65628.79]","[-87975.37, -88093.3, -87995.35, -87885.54, -87962.586, -88101.86, -88042.586, -87898.01, -87936.234, -88085.23]","[-84194.82, -84233.82, -84274.5, -84250.9, -84212.12, -84233.086, -84281.5, -84255.055, -84201.97, -84207.9]","[-87272.52, -87398.09, -87288.34, -87172.81, -87261.3, -87409.266, -87337.81, -87183.695, -87228.734, -87387.32]","[-92223.164, -92333.38, -92251.93, -92156.555, -92216.21, -92337.23, -92289.57, -92161.9, -92187.06, -92315.25]","[-71033.33, -70628.516, -70970.79, -71388.9, -71147.52, -70673.47, -70883.77, -71369.945, -71233.69, -70721.3]","[-87118.14, -87160.09, -87203.3, -87173.164, -87135.86, -87161.55, -87211.63, -87182.266, -87127.32, -87140.086]"
