timestamp,hand,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
2025-10-28 20:16:03.054682,Left,-11.665834,-108.21561,-85.165794,7.8705244,-37.51891,-144.5565,-56.76124,10.837364
2025-10-28 20:16:03.094673,Left,-23.538952,9.093912,-34.287083,-87.623276,-16.612976,-82.806725,-66.123215,53.91
2025-10-28 20:16:03.094702,Left,12.215088,-0.9977788,-6.269353,2.9317148,3.8358347,9.597215,11.530021,-19.339375
2025-10-28 20:16:03.094708,Left,-3.7399638,-7.9427733,-15.125559,-18.365742,-10.67201,-11.209027,-5.191997,-2.253991
2025-10-28 20:16:03.094712,Left,-35.78421,-2.4216218,-4.4605956,-39.471844,-30.276375,-56.460728,-54.23945,40.84489
2025-10-28 20:16:03.094716,Left,16.19928,-7.0587635,-17.24209,-2.6214395,7.223833,18.999537,27.04041,-20.95104
2025-10-28 20:16:03.094719,Left,-12.18961,-8.275619,-13.331955,-21.115118,-11.109449,-14.912852,-7.842976,10.673769
2025-10-28 20:16:03.094724,Left,-49.264095,22.720701,-43.48851,-139.99586,-17.261007,-132.45538,-101.16013,129.3137
2025-10-28 20:16:03.094728,Left,17.829073,47.566395,-81.50342,-152.22102,70.034096,-73.40194,-14.694345,116.64182
2025-10-28 20:16:03.137439,Left,-20.741186,79.067215,65.46245,93.98078,-48.740158,33.783253,-8.15507,-42.792236
2025-10-28 20:16:03.137484,Left,5.12759,-25.775763,-10.277962,-13.885741,7.661573,-3.1979148,2.4875023,24.216063
2025-10-28 20:16:03.137498,Left,-0.67288864,-2.34606,5.52135,9.7340555,4.4666123,9.243919,6.261738,10.710057
2025-10-28 20:16:03.137509,Left,-33.135086,51.997383,30.425816,61.666473,-3.8831453,41.531265,17.794485,-40.491093
2025-10-28 20:16:03.137518,Left,21.069386,-27.836258,-6.625102,-20.51292,2.763813,-13.816256,-5.538997,35.51678
2025-10-28 20:16:03.137528,Left,-2.8017402,9.883187,11.0257225,16.931093,-1.2526349,10.290838,4.3928223,0.27292693
2025-10-28 20:16:03.137538,Left,-43.79528,146.40897,119.950714,182.17862,-73.087036,69.31916,-14.103152,-97.120865
2025-10-28 20:16:03.137546,Left,34.431786,117.281395,142.0759,155.7159,-135.3582,1.7103584,-79.145134,-31.200054
2025-10-28 20:16:03.193728,Left,-27.468788,-22.286337,29.96197,10.088474,-49.374084,-10.907477,88.43105,26.994453
2025-10-28 20:16:03.193773,Left,16.735685,27.7197,9.147068,-0.77106,9.331733,17.285463,-7.19651,-14.022371
2025-10-28 20:16:03.193787,Left,9.8940115,14.890528,11.458093,3.659719,-0.99385715,4.9586515,8.248297,-0.1236696
2025-10-28 20:16:03.193798,Left,8.243818,-25.927486,9.229087,18.889328,-16.63157,-28.232246,30.876484,26.837574
2025-10-28 20:16:03.193807,Left,6.6179285,34.28644,7.8094373,-10.235469,4.034578,24.392216,-2.4547486,-16.311193
2025-10-28 20:16:03.193816,Left,6.0209064,5.3489313,9.014276,4.1377544,-4.73944,0.8297592,13.573709,3.7520816
2025-10-28 20:16:03.193825,Left,-72.051056,-78.23512,22.612818,-1.4731523,-106.67027,-45.431202,139.93579,39.010292
2025-10-28 20:16:03.193834,Left,-137.64046,-28.083614,40.94454,-55.341705,-147.65193,22.667288,181.89159,-20.691078
2025-10-28 20:16:03.221369,Left,-59.59693,-31.902569,85.11617,10.59653,-59.75602,-22.776066,64.12555,1.4406637
2025-10-28 20:16:03.221406,Left,9.8407345,10.6255665,-19.859211,-9.088139,10.32953,6.8510737,-22.207289,-8.519812
2025-10-28 20:16:03.221417,Left,4.451791,8.99715,9.328079,1.7604414,-0.88904035,-0.7040521,-4.518625,-5.0779967
2025-10-28 20:16:03.221426,Left,-52.024403,-44.65389,47.88685,7.3236012,-50.399586,-37.201466,42.513916,6.454803
2025-10-28 20:16:03.221435,Left,30.721785,33.125713,-18.579197,-7.611237,22.465553,17.516836,-33.244213,-14.191263
2025-10-28 20:16:03.221446,Left,-10.345371,-5.767844,8.91254,-0.48585656,-9.865268,-5.988451,2.5915883,-5.425621
2025-10-28 20:16:03.221455,Left,-125.75755,-79.45825,145.58951,18.97741,-109.79879,-38.509876,136.68266,20.27537
2025-10-28 20:16:03.221464,Left,-68.66798,9.006486,133.97758,3.7783096,-60.57199,26.074902,83.67866,-12.485046
2025-10-28 20:16:03.262848,Left,60.60212,0.12203923,-17.514984,35.29063,46.034573,-7.700513,-1.0472924,49.505394
2025-10-28 20:16:03.262894,Left,-14.470266,-1.8419355,10.506855,-0.648557,-23.236814,-9.612003,3.1256547,-2.1920803
2025-10-28 20:16:03.262909,Left,0.34076452,-3.1410592,-1.5002403,-0.3169069,-8.672178,-11.17972,-5.483568,-2.1362813
2025-10-28 20:16:03.262919,Left,51.39438,8.010021,-26.481012,0.22687241,39.577988,-0.79006535,-17.13001,16.226736
2025-10-28 20:16:03.262928,Left,-31.499622,-12.642427,12.32288,1.6914389,-34.517143,-13.959277,7.0939803,-4.2586746
2025-10-28 20:16:03.262937,Left,9.463441,0.16324037,-2.3285403,3.2174942,0.28841874,-7.1526294,-2.5915632,6.690198
2025-10-28 20:16:03.262946,Left,125.55582,7.215481,-37.506542,57.261288,90.84418,-10.142465,-1.8488898,98.58275
2025-10-28 20:16:03.262955,Left,77.74183,-8.725813,28.587172,124.85568,37.781506,-24.675571,54.43901,137.71799
2025-10-28 20:16:03.290511,Left,14.679123,69.13204,0.9894545,-26.101562,33.180508,80.43694,-22.738073,45.814648
2025-10-28 20:16:03.290552,Left,0.0055735186,-12.937426,-18.401695,-7.2495584,-7.845908,-19.752377,-15.428506,-20.201563
2025-10-28 20:16:03.290563,Left,-2.2722433,-0.57629603,-10.405109,-10.206179,-4.7124324,-5.5371485,-16.266495,-9.045391
2025-10-28 20:16:03.290573,Left,-3.3659668,29.860857,19.714346,-7.8217897,8.955828,44.203285,10.368771,41.97283
2025-10-28 20:16:03.290583,Left,6.45147,-9.056024,-21.336174,-2.5656972,-0.40912914,-19.705097,-20.260662,-29.882639
2025-10-28 20:16:03.290592,Left,3.663442,10.446101,-1.7199811,-4.6741686,4.914648,11.005013,-5.253751,4.0805316
2025-10-28 20:16:03.290601,Left,41.521244,141.62598,27.347034,-23.169296,79.18279,169.37129,-11.819442,105.60968
2025-10-28 20:16:03.290610,Left,73.012344,154.88437,-53.419765,-54.501827,107.732185,175.2354,-74.0487,58.160618
2025-10-28 20:16:03.330667,Left,-66.3841,-95.38199,46.89568,29.24343,-65.61286,-81.632515,75.27124,9.153902
2025-10-28 20:16:03.330713,Left,8.881618,19.76126,4.267402,5.5556655,20.837175,30.471968,7.3902955,20.626228
2025-10-28 20:16:03.330727,Left,-6.4316564,-3.8727949,7.2356105,7.8658338,4.8619113,8.261039,17.665192,18.265116
2025-10-28 20:16:03.330738,Left,-30.374775,-56.593006,12.571861,18.568573,-30.702051,-52.296597,32.48446,-12.499329
2025-10-28 20:16:03.330747,Left,4.566569,22.00629,3.3841481,-0.6990052,18.599373,34.115227,3.022778,26.975477
2025-10-28 20:16:03.330756,Left,-11.6061325,-13.843592,8.823962,9.78954,-4.0829906,-7.582245,13.430191,4.267534
2025-10-28 20:16:03.330765,Left,-114.3542,-173.72928,82.678925,50.003178,-129.81433,-167.03954,118.91585,-12.549054
2025-10-28 20:16:03.330774,Left,-130.09583,-144.80452,145.27309,63.308254,-125.69109,-126.38198,155.2524,52.83731
2025-10-28 20:16:03.384620,Left,92.44037,88.633194,-67.31017,-11.083324,-64.7237,-6.25962,-68.551056,-51.325066
2025-10-28 20:16:03.384647,Left,-7.026162,-16.022024,11.572479,-7.140714,1.9432853,6.6781845,13.221806,14.198308
2025-10-28 20:16:03.384653,Left,18.560032,13.861486,6.806838,-0.48309922,-6.3784904,0.7765878,-3.0489876,1.0812757
2025-10-28 20:16:03.384657,Left,52.017796,61.07984,-38.225033,3.8347204,-30.90471,-30.102203,-51.442314,-50.54232
2025-10-28 20:16:03.384661,Left,-7.9761534,-21.331438,20.53559,-8.745822,3.889696,18.66328,25.214245,32.08223
2025-10-28 20:16:03.384664,Left,15.921179,13.166972,-9.720823,-4.6751647,-12.977813,-3.859083,-10.494392,-6.432866
2025-10-28 20:16:03.384668,Left,142.21036,142.15733,-147.16797,-32.869293,-128.8997,-30.408215,-131.46556,-99.647194
2025-10-28 20:16:03.384672,Left,123.879135,70.39194,-178.52982,-97.5914,-167.02907,40.64008,-83.16015,-15.905213
2025-10-28 20:16:03.427376,Left,94.66698,-14.959821,53.961918,14.5187645,-75.19683,-13.190031,31.829353,-14.957797
2025-10-28 20:16:03.427403,Left,-11.662419,-2.3529394,-11.531319,-10.331422,16.985607,8.980949,-11.170246,-10.479932
2025-10-28 20:16:03.427408,Left,6.81582,-2.9492292,1.9983289,-0.89698106,2.1964366,4.3857965,-1.9678067,-8.350631
2025-10-28 20:16:03.427412,Left,49.96436,11.9375515,46.658306,31.321627,-51.40247,-9.464246,37.4864,14.976496
2025-10-28 20:16:03.427416,Left,-14.511655,-10.738881,-21.43266,-19.147226,30.689981,14.050733,-20.966444,-18.84926
2025-10-28 20:16:03.427420,Left,15.106617,-0.5005583,10.022035,4.4249353,-6.314491,4.86539,7.032028,-2.8373704
2025-10-28 20:16:03.427423,Left,171.99866,-20.594435,101.20068,27.517366,-152.12668,-34.623096,61.48166,-16.366987
2025-10-28 20:16:03.427427,Left,186.30672,-74.55397,56.208214,-36.0744,-101.142235,-11.334508,1.4506276,-98.42165
2025-10-28 20:16:03.481408,Left,10.953739,-50.052856,-67.32967,-91.276596,-87.60882,75.6933,76.80633,-74.49412
2025-10-28 20:16:03.481453,Left,-16.126894,-1.6692928,21.601599,13.208166,11.899232,-22.760885,-28.402683,5.060746
2025-10-28 20:16:03.481467,Left,-10.579803,-10.514712,-1.1315267,-6.743757,-7.208879,-3.8935783,-7.0925984,-11.2193
2025-10-28 20:16:03.481477,Left,22.797407,-4.1618586,-46.65453,-50.12547,-66.99435,26.897799,49.073563,-49.106667
2025-10-28 20:16:03.481486,Left,-26.86681,-11.40339,28.583715,17.347095,23.176832,-24.165895,-41.410843,5.716163
2025-10-28 20:16:03.481496,Left,-4.1591444,-7.251026,-3.6507413,-10.171644,-14.057419,3.5181963,2.9165535,-17.205696
2025-10-28 20:16:03.481504,Left,38.374134,-68.728935,-112.835236,-155.24115,-159.03606,139.36763,141.73457,-146.94489
2025-10-28 20:16:03.481513,Left,-18.35489,-129.09404,-54.758976,-153.73439,-118.552704,142.55266,80.113365,-147.3707
2025-10-28 20:16:03.521593,Left,-21.124405,7.9478307,-50.248817,-96.03234,5.188417,9.605954,-68.94002,-107.5772
2025-10-28 20:16:03.521638,Left,1.333402,-6.6656203,-2.4559429,11.503714,8.562218,0.6590612,7.8750353,18.86936
2025-10-28 20:16:03.521653,Left,-5.7318525,-7.781015,-11.798539,-8.76326,4.0172224,2.4181967,-2.1103814,-0.88157094
2025-10-28 20:16:03.521663,Left,-31.875572,-0.77227,-13.523726,-44.018776,-9.342553,9.495968,-21.685345,-53.44112
2025-10-28 20:16:03.521672,Left,14.786206,-4.857451,-7.0283637,12.435697,14.163167,-1.7864681,4.7844605,22.801672
2025-10-28 20:16:03.521681,Left,-7.9012785,-3.2522526,-9.618667,-12.322868,5.3723235,4.5675564,-7.652609,-14.280968
2025-10-28 20:16:03.521690,Left,-34.42926,21.08494,-78.79417,-167.93019,9.286962,34.435524,-104.408714,-178.46313
2025-10-28 20:16:03.521699,Left,23.161667,36.033016,-118.2312,-176.3745,76.40604,40.486427,-144.01854,-185.02968
2025-10-28 20:16:03.547995,Left,-65.84604,-90.237076,58.422535,33.81707,-65.38459,-77.134865,80.55971,43.50028
2025-10-28 20:16:03.548029,Left,10.839045,19.034126,-2.4507399,-5.5547523,11.713506,21.987413,-1.6660831,1.0044125
2025-10-28 20:16:03.548040,Left,-0.5799928,-4.170563,1.9224681,-1.1821071,-4.5259523,0.670313,11.345623,6.391328
2025-10-28 20:16:03.548050,Left,-31.248499,-59.73393,13.524828,12.832629,-40.828682,-58.108955,33.07215,22.896591
2025-10-28 20:16:03.548059,Left,10.024661,21.575077,-6.7031446,-11.01701,13.212585,31.602293,-0.47247818,-2.0093303
2025-10-28 20:16:03.548069,Left,-10.722634,-16.979988,2.178374,-2.0749192,-14.391429,-12.3208,13.279838,8.9960785
2025-10-28 20:16:03.548078,Left,-117.72235,-165.67384,105.82563,62.019634,-127.711334,-163.0462,121.093025,56.526806
2025-10-28 20:16:03.548087,Left,-145.18929,-150.76837,140.31133,65.60183,-116.15432,-106.902,162.87914,65.22933
2025-10-28 20:16:03.604486,Left,87.06134,30.227547,-74.01625,-63.952858,74.63008,-19.84498,-74.87445,-43.567493
2025-10-28 20:16:03.604523,Left,-3.8140304,5.3387365,23.31573,25.078096,-6.137841,8.951696,11.714842,12.828564
2025-10-28 20:16:03.604532,Left,10.197265,12.181716,7.9180512,11.911073,15.967863,4.3899164,-6.474882,-4.458812
2025-10-28 20:16:03.604539,Left,46.742847,28.38564,-39.34414,-44.052284,53.44544,-22.06582,-50.676395,-45.09793
2025-10-28 20:16:03.604546,Left,-4.8415203,7.021604,36.60958,44.923866,-2.8526063,21.114204,19.273767,19.874123
2025-10-28 20:16:03.604553,Left,21.996782,18.545618,3.3798423,5.828451,25.650976,6.529897,-9.256207,-8.314889
2025-10-28 20:16:03.604560,Left,146.8326,49.703,-138.79677,-120.040825,144.92642,-29.17711,-133.32101,-85.69521
2025-10-28 20:16:03.604568,Left,175.41708,50.419353,-102.172035,-48.445126,140.68312,29.307314,-99.96204,-22.743694
2025-10-28 20:16:03.632108,Left,-44.984673,-8.185386,80.58647,10.171321,-39.15726,6.2633543,60.929276,72.32585
2025-10-28 20:16:03.632155,Left,15.2459,14.009207,-14.841394,-2.1144745,12.368375,0.9405962,-28.784445,-21.435577
2025-10-28 20:16:03.632169,Left,-1.385381,0.8385363,-1.2842919,-1.1329422,0.0035248434,1.1666425,-4.308942,0.26175284
2025-10-28 20:16:03.632180,Left,-44.133633,-32.78777,47.580692,6.4870954,-43.077793,-22.726942,41.86223,31.461218
2025-10-28 20:16:03.632190,Left,21.705229,19.195627,-29.995005,-10.350977,19.520596,12.19855,-32.413933,-19.235046
2025-10-28 20:16:03.632199,Left,-11.822795,-7.7552176,3.123083,-5.63501,-12.2121525,-6.5722914,-0.9404977,1.7089428
2025-10-28 20:16:03.632208,Left,-101.274185,-34.760765,142.76117,20.340475,-73.63398,11.486205,126.58102,136.45235
2025-10-28 20:16:03.632218,Left,-52.22209,40.036625,105.3012,-10.164518,-26.994995,72.4524,67.90757,137.5749
2025-10-28 20:16:03.687420,Left,-17.239283,87.4781,88.983246,-69.88821,-26.197552,67.51159,50.250477,-99.83826
2025-10-28 20:16:03.687474,Left,1.1150776,-15.806056,-21.814045,7.708039,6.9256325,-15.884328,-22.55492,6.5841265
2025-10-28 20:16:03.687489,Left,1.2174684,5.9826555,2.0789132,-5.1887527,1.3774723,1.8965594,-3.0804334,-8.697775
2025-10-28 20:16:03.687500,Left,-16.831732,46.47581,61.231762,-34.120243,-15.172875,47.265793,51.257267,-48.476254
2025-10-28 20:16:03.687509,Left,6.1665,-17.741802,-29.867285,12.361313,14.607888,-17.352959,-26.603502,19.937668
2025-10-28 20:16:03.687519,Left,-5.644355,11.083725,11.749009,-8.825353,1.2699064,13.543862,11.525036,-8.445931
2025-10-28 20:16:03.687528,Left,-43.055756,148.79817,157.67688,-136.32306,-54.837654,129.97899,109.63734,-169.92023
2025-10-28 20:16:03.687537,Left,-31.151035,150.61597,122.619675,-131.68071,-27.435764,114.0626,47.64524,-169.50719
2025-10-28 20:16:03.796658,Left,26.746,-97.17321,-41.585552,72.69588,19.8228,-34.576694,12.368795,96.72895
2025-10-28 20:16:03.796686,Left,-24.150633,10.403548,15.284286,-15.1426525,3.229562,29.075357,29.493847,2.941517
2025-10-28 20:16:03.796691,Left,-10.2784815,-9.063197,2.6662748,5.1437106,6.245059,12.346857,19.566414,20.097149
2025-10-28 20:16:03.796695,Left,36.65147,-57.154102,-43.12787,49.39248,20.545202,-29.137474,-8.544761,72.63489
2025-10-28 20:16:03.796699,Left,-33.4955,19.048689,27.467247,-21.63016,-5.041549,31.844318,32.85017,-12.580679
2025-10-28 20:16:03.796702,Left,0.104997754,-15.596469,-3.4160748,13.305863,7.2010345,3.689679,12.3861475,24.48598
2025-10-28 20:16:03.796706,Left,74.50329,-168.31277,-77.1748,143.6281,40.09042,-73.268585,7.710212,175.4705
2025-10-28 20:16:03.796709,Left,-1.8687556,-152.32611,-13.553139,100.515656,-1.767369,-38.988907,66.279396,119.697334
2025-10-28 20:16:03.850410,Left,-52.789013,-73.13826,79.84079,31.033998,-77.769264,-84.43059,74.22266,-32.329636
2025-10-28 20:16:03.850436,Left,35.038563,44.12019,19.302738,15.093091,21.96674,18.197277,-18.28159,-6.360382
2025-10-28 20:16:03.850441,Left,16.59411,15.5932865,21.09418,11.297052,-1.7240767,-6.752073,-5.8053784,-16.485178
2025-10-28 20:16:03.850445,Left,-16.102945,-38.706257,43.2028,29.74212,-37.482903,-59.506752,29.808851,-47.709656
2025-10-28 20:16:03.850448,Left,27.638073,42.509857,9.688105,3.694695,20.459766,23.919579,-24.337008,3.0018423
2025-10-28 20:16:03.850451,Left,12.17131,10.285387,30.148952,19.566412,-3.0712798,-12.217111,2.3902197,-17.42412
2025-10-28 20:16:03.850455,Left,-107.47486,-150.2165,130.53233,53.713318,-146.8553,-167.19014,124.90843,-76.58212
